Layout,Layout CG Penalty,Component Name,Layer Placement,Mass (kg),Dimensions (mm),CoG X (mm),CoG Y (mm)
1,28.2125,PDS,FRONT,1.5,100.0 x 112.0,-41.39,100.06
1,28.2125,CCRR0,FRONT,0.15,Ø 45.0,-230.65,206.99
1,28.2125,CCRR1,FRONT,0.15,Ø 45.0,205.26,18.46
1,28.2125,LD0,FRONT,0.04,Ø 32.0,140.86,-79.58
1,28.2125,LD1,FRONT,0.04,Ø 32.0,-242.8,-235.2
1,28.2125,LD2,FRONT,0.04,Ø 32.0,-348.2,84.51
1,28.2125,LD3,FRONT,0.04,Ø 32.0,424.0,109.26
1,28.2125,LD4,FRONT,0.04,Ø 32.0,325.46,87.78
1,28.2125,LD5,FRONT,0.04,Ø 32.0,-424.0,107.8
1,28.2125,RS,FRONT,1.5,110.0 x 90.5,7.72,-160.95
1,28.2125,BM1,BACK,1.5,100.0 x 100.0,-390.0,-201.2
1,28.2125,PB0,BACK,0.1,69.0 x 16.0,-177.33,-31.17
1,28.2125,PB1,BACK,0.1,69.0 x 16.0,-405.5,-28.0
1,28.2125,PB2,BACK,0.1,69.0 x 16.0,-206.28,-151.79
1,28.2125,PB3,BACK,0.1,69.0 x 16.0,-49.68,-32.44
1,28.2125,RPU,BACK,3.0,260.0 x 253.0,265.0,124.7
1,28.2125,MES,BACK,0.125,128.0 x 117.0,331.0,-124.41
1,28.2125,MT20,BACK,0.4,275.0 x 25.0,-302.5,193.1
2,53.2087,PDS,FRONT,1.5,100.0 x 112.0,-102.42,99.23
2,53.2087,CCRR0,FRONT,0.15,Ø 45.0,-332.77,221.04
2,53.2087,CCRR1,FRONT,0.15,Ø 45.0,115.18,50.88
2,53.2087,LD0,FRONT,0.04,Ø 32.0,317.92,-106.53
2,53.2087,LD1,FRONT,0.04,Ø 32.0,-99.81,-235.2
2,53.2087,LD2,FRONT,0.04,Ø 32.0,-408.18,105.28
2,53.2087,LD3,FRONT,0.04,Ø 32.0,424.0,134.09
2,53.2087,LD4,FRONT,0.04,Ø 32.0,411.47,57.38
2,53.2087,LD5,FRONT,0.04,Ø 32.0,-399.79,6.21
2,53.2087,RS,FRONT,1.5,110.0 x 90.5,62.52,-160.95
2,53.2087,BM1,BACK,1.5,100.0 x 100.0,-390.0,-201.2
2,53.2087,PB0,BACK,0.1,69.0 x 16.0,-288.19,-21.45
2,53.2087,PB1,BACK,0.1,69.0 x 16.0,-405.5,-46.01
2,53.2087,PB2,BACK,0.1,69.0 x 16.0,-171.71,-143.3
2,53.2087,PB3,BACK,0.1,69.0 x 16.0,-82.65,-2.09
2,53.2087,RPU,BACK,3.0,260.0 x 253.0,265.0,124.7
2,53.2087,MES,BACK,0.125,128.0 x 117.0,331.0,-138.85
2,53.2087,MT20,BACK,0.4,275.0 x 25.0,-302.5,193.07
3,54.906,PDS,FRONT,1.5,100.0 x 112.0,56.09,94.56
3,54.906,CCRR0,FRONT,0.15,Ø 45.0,-225.3,228.7
3,54.906,CCRR1,FRONT,0.15,Ø 45.0,213.41,12.23
3,54.906,LD0,FRONT,0.04,Ø 32.0,187.16,-121.62
3,54.906,LD1,FRONT,0.04,Ø 32.0,-170.5,-235.2
3,54.906,LD2,FRONT,0.04,Ø 32.0,-402.93,58.93
3,54.906,LD3,FRONT,0.04,Ø 32.0,424.0,113.0
3,54.906,LD4,FRONT,0.04,Ø 32.0,282.11,115.99
3,54.906,LD5,FRONT,0.04,Ø 32.0,-366.3,139.76
3,54.906,RS,FRONT,1.5,110.0 x 90.5,-57.1,-160.95
3,54.906,BM1,BACK,1.5,100.0 x 100.0,-390.0,-201.2
3,54.906,PB0,BACK,0.1,69.0 x 16.0,-204.42,80.88
3,54.906,PB1,BACK,0.1,69.0 x 16.0,-405.5,-53.08
3,54.906,PB2,BACK,0.1,69.0 x 16.0,-243.84,-86.04
3,54.906,PB3,BACK,0.1,69.0 x 16.0,10.88,-15.67
3,54.906,RPU,BACK,3.0,260.0 x 253.0,265.0,124.7
3,54.906,MES,BACK,0.125,128.0 x 117.0,331.0,-147.7
3,54.906,MT20,BACK,0.4,275.0 x 25.0,-302.5,193.7
4,56.4912,PDS,FRONT,1.5,100.0 x 112.0,-108.66,66.05
4,56.4912,CCRR0,FRONT,0.15,Ø 45.0,-274.08,222.93
4,56.4912,CCRR1,FRONT,0.15,Ø 45.0,64.12,20.76
4,56.4912,LD0,FRONT,0.04,Ø 32.0,305.61,-111.44
4,56.4912,LD1,FRONT,0.04,Ø 32.0,-117.7,-235.2
4,56.4912,LD2,FRONT,0.04,Ø 32.0,-393.08,86.37
4,56.4912,LD3,FRONT,0.04,Ø 32.0,424.0,78.28
