Layout,Layout CG Penalty,Component Name,Layer Placement,Mass (kg),Dimensions (mm),CoG X (mm),CoG Y (mm)
1,12.2026,PDS,FRONT,1.5,100.0 x 112.0,-98.72,27.59
1,12.2026,CCRR0,FRONT,0.15,Ø 45.0,-331.2,224.52
1,12.2026,CCRR1,FRONT,0.15,Ø 45.0,310.88,33.75
1,12.2026,LD0,FRONT,0.04,Ø 32.0,424.0,-156.6
1,12.2026,LD1,FRONT,0.04,Ø 32.0,-140.47,-235.2
1,12.2026,LD2,FRONT,0.04,Ø 32.0,-362.28,105.41
1,12.2026,LD3,FRONT,0.04,Ø 32.0,424.0,66.54
1,12.2026,LD4,FRONT,0.04,Ø 32.0,191.9,204.78
1,12.2026,LD5,FRONT,0.04,Ø 32.0,-424.0,29.35
1,12.2026,RS,FRONT,1.5,110.0 x 90.5,76.99,-160.95
1,12.2026,BM1,BACK,1.5,100.0 x 100.0,-390.0,-201.2
1,12.2026,PB0,BACK,0.1,69.0 x 16.0,-66.47,128.78
1,12.2026,PB1,BACK,0.1,69.0 x 16.0,-405.5,-21.48
1,12.2026,PB2,BACK,0.1,69.0 x 16.0,-245.69,-87.84
1,12.2026,PB3,BACK,0.1,69.0 x 16.0,-86.46,-81.59
1,12.2026,RPU,BACK,3.0,260.0 x 253.0,265.0,124.7
1,12.2026,MES,BACK,0.125,128.0 x 117.0,331.0,-147.56
1,12.2026,MT20,BACK,0.4,275.0 x 25.0,-302.5,193.7
2,18.6801,PDS,FRONT,1.5,100.0 x 112.0,-40.02,81.3
2,18.6801,CCRR0,FRONT,0.15,Ø 45.0,-207.53,228.7
2,18.6801,CCRR1,FRONT,0.15,Ø 45.0,75.8,-6.54
2,18.6801,LD0,FRONT,0.04,Ø 32.0,163.99,-81.95
2,18.6801,LD1,FRONT,0.04,Ø 32.0,-153.89,-235.2
2,18.6801,LD2,FRONT,0.04,Ø 32.0,-418.32,69.1
2,18.6801,LD3,FRONT,0.04,Ø 32.0,424.0,90.88
