Component Name,Layer Placement,Mass (kg),Dimensions (mm),CoG X (mm),CoG Y (mm)
PDS,FRONT,1.5,100.0 x 112.0,-147.29,44.56
CCRR0,FRONT,0.15,Ø 45.0,-297.13,208.75
CCRR1,FRONT,0.15,Ø 45.0,311.84,18.62
LD0,FRONT,0.04,Ø 32.0,424.0,-162.63
LD1,FRONT,0.04,Ø 32.0,-284.59,-235.2
LD2,FRONT,0.04,Ø 32.0,-287.66,58.53
LD3,FRONT,0.04,Ø 32.0,423.95,86.99
LD4,FRONT,0.04,Ø 32.0,305.55,150.75
LD5,FRONT,0.04,Ø 32.0,-421.19,3.98
RS,FRONT,1.5,110.0 x 90.5,83.23,-157.08
BM1,BACK,1.5,100.0 x 100.0,-390.0,-201.2
PB0,BACK,0.1,69.0 x 16.0,-50.28,38.31
PB1,BACK,0.1,69.0 x 16.0,-405.5,-53.65
PB2,BACK,0.1,69.0 x 16.0,-246.8,-92.3
PB3,BACK,0.1,69.0 x 16.0,-79.58,-74.11
RPU,BACK,3.0,260.0 x 253.0,265.0,124.7
MES,BACK,0.125,128.0 x 117.0,331.0,-147.25
MT20,BACK,0.4,275.0 x 25.0,-302.5,186.15
